"haplotype_id"	"num_snps"	"s_1"	"s_2"	"s_3"	"s_4"	"s_5"	"s_6"	"s_7"	"s_8"	"s_9"	"s_10"	"median_s"
"2R.32"	44	-0.0821717992872749	0.0171858979106064	-0.0014697596375234	0.0450357194049932	-0.0405132046281879	0.0571233266835158	0.0525267675311008	0.0547217668608542	0.0559327249562882	0.0601989878689087	0.048781243468047
"2R.19"	234	NA	0.0608228480211581	0.0469310088042745	NA	0.108966053854617	NA	NA	NA	0.0662712046370624	0.104701272459202	0.0662712046370624
"2R.18"	86	0.0657515238661444	0.0624661205743841	0.0786651304071733	-0.00276387081937353	0.0463778148050234	0.0227686359681622	0.0965796232875989	-0.000119336051077515	0.051686802769599	0.0427291561014291	0.0490323087873112
"2R.21"	20	0.0386324120159119	0.0549465406843954	0.0332957450934524	0.0343168489536234	0.0160429283523936	0.0920991513684034	0.0139636611934372	0.0119948141755604	0.0450417172064871	-0.0379380196613089	0.0338062970235379
"2R.20"	33	0.0323612102538069	0.0419016740168996	0.0459186893717045	0.0615195809142481	-0.0176176989564342	0.0581963005053986	0.0513320220717823	0.0510687914164586	-0.00740282633219894	0.0145786157294706	0.0439101816943021
"2R.22"	289	0.0400724207940596	0.0774252537058877	-0.0485095744202281	0.0813514845711434	-0.0348002718211086	0.0272770107837984	0.0461576879714569	0.00971236374938613	0.0378475420596942	0.0680085954959246	0.0389599814268769
"2R.23"	29	0.0678619461906084	NA	0.108649385993138	NA	NA	0.134439671302292	NA	NA	0.129906930654767	NA	0.119278158323952
"2R.24"	20	0.0694960954668894	0.036734206522109	-0.0121026066145052	0.0501480690971724	0.151412692855075	0.0384592576312756	0.0505538798443106	0.0185698336942325	0.0621165783692425	0.059962586607818	0.0503509744707415
"2R.25"	42	0.0604129904389645	0.0733037731358476	0.0430484922171024	-0.064848281593543	0.0246776278960947	-0.0415364883854622	0.012966335056419	-0.0899415340503395	0.0722045700307366	0.0424744432770131	0.0335760355865539
"2R.26"	21	0.0224063938461319	0.00223888811812801	0.0389401860155768	0.0294563190166252	0.0274012731209322	0.014659661688308	0.0462723159621378	0.000392161385986216	0.0572937870751504	0.0485822085831881	0.0284287960687787
"3L.14"	61	-0.00270652962195096	0.0937624312591411	0.0556092804152345	0.00270487525124103	0.0187706139495542	0.0152164904749677	0.0388879503174655	-0.0897422111133649	0.0669009654703786	0.0196869180414587	0.0192287659955064
"3L.4"	153	0.0577830187034693	0.00853111247124001	0.0769166369265492	0.044643835211814	0.022681350976361	0.0211996255573332	0.0654913257584229	0.0128852228436353	0.0664083495438005	-0.0357813338386479	0.0336625930940875
"3L.15"	21	0.0477741804361969	0.00674122888316321	0.0402845051124156	0.0373021427283739	-0.0599093443906069	0.00536434556042123	0.0198412490352661	0.0444561470282531	0.0123817318505747	0.0411692027653084	0.02857169588182
"3L.16"	196	0.0255487336129494	0.00449405689534335	0.0367248525076788	0.0181723280040692	0.0119218268144432	0.0326000735574276	0.0346026437354137	0.0681686314005691	0.042182642221724	0.0586665344718896	0.0336013586464206
"3L.3"	1086	0.0612631336813735	0.0360448585992943	0.0064154680690663	0.0680094993878228	0.0370386889944876	0.0170390490971534	-0.00152237701671598	0.0610721984051919	0.00503181875628059	0.036138276920644	0.0360915677599691
"3L.17"	70	0.0366119198709847	-0.0118046886944695	0.0128498670042784	0.0297117348737007	-0.047143144767259	0.0115160237807145	0.0907210021301151	-0.0719568417444041	0.00873825789408962	0.0233334055842128	0.0121829453924964
"3L.18"	859	0.0273050917824773	-0.00274548694842803	0.0522936266848454	0.0292194669573134	-0.00194625224252341	0.0234486879896073	0.0231049060186648	0.036359326500828	0.0212602132747107	0.0222609790858552	0.0232767970041361
"3L.19"	87	0.0744638948045381	0.0417046090922788	NA	NA	0.0595060166043338	-0.00513835599424198	0.11308881155414	NA	NA	0.0975483780716195	0.0669849557044359
"3L.20"	31	0.00820538063884681	0.0376235637403919	0.0727671582254522	-0.0223558108235962	0.0754306612200539	0.0441889913101152	0.106838525337525	0.0316360184899049	0.0127759064377601	0.0200809404965022	0.0346297911151484
"3L.21"	111	0.0137971387531564	0.00102123231539632	0.0366458258136148	-0.00243417116716299	-0.0190807597763938	0.00149837959540887	0.0902441766914754	0.0340737366680825	0.00928218057822854	0.0462275850760516	0.0115396596656925
"3L.22"	35	-0.0182707136169896	-0.0750761451506416	NA	-0.00293690891700891	NA	-0.000770747247361814	-0.0305889697281426	0.117870556652051	-0.0215182261508701	-0.0301058848052398	-0.0198944698839298
"3L.23"	157	0.0301529391415709	0.0516865804137056	0.0748988402557051	0.0408146211639409	0.0595050019946794	0.0265529699648557	0.0385256900836019	0.0178786308590385	0.0146852142639812	0.00712951281157549	0.0343393146125864
"3L.24"	20	NA	0.0111280405770623	NA	0.0875058406197947	0.0961067060330083	0.0596654402117531	0.00665188524873771	NA	0.0364015817946359	NA	0.0480335110031945
